Year,Continent_Name,CO2 Emission,GDP,Temperature Change
1970,Oceania,29363.53099999999,293082898310.0,0.20252151314048836
1970,South America,337.86699999999996,1222065586228.0,0.2058
1971,Africa,331.87800000000004,780501537325.51,-0.0761591435185185
1971,Asia,95694.39100000003,6669038300551.65,0.06589856025244871
1971,Europe,6537.288,8005167978911.883,0.40013309037900885
1971,North America,4901.264,6061911292500.0,-0.27012000000000014
1971,Oceania,30577.374999999996,306494783600.0,-0.019915986859511386
1971,South America,346.56100000000004,1309847940167.0,-0.3717
1972,Africa,351.90199999999993,813584140204.15,0.08669502314814806
1972,Asia,99866.36699999998,7004648902759.137,0.014662020905923326
1972,Europe,6780.476,8363032691272.26,0.4628473760932944
1972,North America,5146.615000000001,6394864731063.0,-0.05024000000000001
1972,Oceania,31891.099000000006,315863413900.0,-0.05279098685951138
1972,South America,362.55400000000003,1395612855826.0,0.1613
1973,Africa,378.05499999999995,844580220385.8,0.4733200231481478
1973,Asia,105186.32199999999,8010978552753.922,0.3079547038327524
1973,Europe,7098.609000000002,9729688643329.719,0.5353371720116619
1973,North America,5373.406,6775102093031.0,0.17560000000000012
1973,Oceania,33581.624999999985,333918980000.0,0.38198107196401826
1973,South America,392.63400000000007,1516133502069.0,0.1089
1974,Africa,388.467,890878975306.67,-0.11086747685185182
1974,Asia,105350.60899999997,7769392117123.529,0.0639547038327526
1974,Europe,7127.052000000001,9116367946877.0,0.5243983965014574
1974,North America,5222.007,6811702242152.0,-0.2715199999999999
1974,Oceania,33597.50100000001,344260065400.0,0.03166857196401798
1974,South America,416.45,1616762792098.0,-0.23450000000000001
1975,Africa,387.384,898607236195.5801,-0.049324673821548745
1975,Asia,105729.35199999997,8135714269297.165,0.12269383426753501
1975,Europe,7168.732,9205113717467.95,0.7739902332361512
1975,North America,5049.437,6836895886969.0,-0.14048000000000005
1975,Oceania,33640.296000000024,351169044800.0,0.0557935719640179
1975,South America,411.856,1666610965913.0,-0.19399999999999998
1976,Africa,420.27500000000003,958581508493.46,-0.11594891624579133
1976,Asia,111700.03499999995,8462416250804.539,-0.04367201939100134
1976,Europe,7577.865000000001,9593386781217.885,0.39174533527696787
1976,North America,5292.8279999999995,7190276524390.0,-0.24422296296296309
1976,Oceania,35528.54600000002,364334423050.0,-0.12385348685951139
1976,South America,419.127,1773434632817.0,-0.1934
1977,Africa,433.11699999999996,997719081158.37,0.36417608375420907
1977,Asia,114153.46399999999,8901326924412.43,0.3448327526132403
1977,Europe,7641.754,9885399673446.977,0.5139698250728866
1977,North America,5435.615,7504387552182.0,0.29762560846560854
1977,Oceania,36257.86299999999,364369206200.0,0.03629357196401803
1977,South America,434.526,1865255342017.0,0.3289
1978,Africa,462.626,1023293388479.4601,0.24061168981481462
1978,Asia,118005.441,9394545017904.328,0.3075644599303126
1978,Europe,7881.401,10184174869073.17,0.31490860058309
1978,North America,5617.545,7938372490089.0,0.14056857142857146
1978,Oceania,37470.235,373454648400.0,0.166856071964018
1978,South America,460.922,1921786102250.0,0.21539999999999984
1979,Africa,499.17599999999993,1071556781777.28,0.46207191708754186
1979,Asia,121440.11399999997,9750918205295.285,0.6448571428571422
1979,Europe,8081.54,10483984725849.8,0.306949416909621
1979,North America,5676.781,8245259133304.0,0.20510560846560827
1979,Oceania,38553.45999999999,391156178400.0,0.2227935719640179
1979,South America,493.699,2035487905106.0,0.2216
1980,Africa,535.8190000000002,1119490733372.72,0.44561358375420895
1980,Asia,121357.152,10613555253324.682,0.37936933797909306
1980,Europe,8092.895999999999,11614048196065.217,0.32368411078717163
1980,North America,5528.211,8318407972140.0,0.545341818181818
1980,Oceania,38516.26800000002,398148176950.0,0.24898107196401814
1980,South America,507.91200000000003,2146174722580.0,0.3717999999999999
1981,Africa,548.7479999999999,1131151420168.04,0.2032385837542085
1981,Asia,117913.13900000002,10965071436887.867,0.3685888501742155
1981,Europe,7811.009000000001,11677711825425.25,0.4884392128279881
1981,North America,5338.275,8571372287933.0,0.3392705454545457
1981,Oceania,37399.331,414146326330.0,0.23779357196401807
1981,South America,488.84299999999996,2098596524248.0,0.28769999999999996
1982,Africa,571.897,1167570554597.68,0.3437575231481485
1982,Asia,117381.81000000006,11390805870869.732,0.13368641114982602
1982,Europe,7764.439999999999,11808446372036.512,0.628377988338193
1982,North America,5117.008,8413237878697.0,0.2606305454545455
1982,Oceania,37164.312,414941619000.0,0.10216857196401807
1982,South America,490.14199999999994,2082553032894.0,0.34879999999999983
1983,Africa,594.7130000000001,1176187225286.33,0.6308295260721241
1983,Asia,118255.52399999998,11897950266024.79,0.08629616724738658
1983,Europe,7781.231999999999,12057928622013.123,0.763480029154519
1983,North America,5108.566000000001,8692680277430.0,0.4298705454545452
1983,Oceania,37375.587,416820426000.0,0.21908401314048848
1983,South America,485.34499999999997,2032524727628.0,0.48080000000000006
1984,Africa,649.4620000000001,1203290592564.24,0.38027949284511803
1984,Asia,120893.08200000001,12482549849555.578,0.16517421602787474
1984,Europe,7834.246,12330289797536.898,0.47694941690962145
1984,North America,5265.9529999999995,9281383518593.0,0.010719999999999898
1984,Oceania,38170.48699999999,444219924000.0,0.168356071964018
1984,South America,491.47700000000003,2107976635633.0,-9.71445146547012e-18
1985,Africa,665.8820000000001,1245856989647.12,0.35506058667818513
1985,Asia,125749.43100000004,13013310448141.438,0.31880836236933857
1985,Europe,8192.863999999998,12649636209841.795,0.26021472303206983
1985,North America,5295.058,9630848126450.0,0.018399999999999986
1985,Oceania,39641.018,463625985000.0,0.23823107196401777
1985,South America,501.60400000000004,2176850333002.0,0.10819999999999987
